"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Rochers et Port de Jard_19/07/2016_MOMOT Pauline_2";;"MOMOT Pauline";"2.0";"11:05";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;3;;5;;0;;"Un seul pêcheur vu";"Oui";"Non";"Aucune";;;;"Fidélité"
"Rochers et Port de Jard_19/07/2016_MOMOT Pauline_3";;"MOMOT Pauline";"3.0";"11:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non";"Non";"Aucune";;;;"Recommandation"
"Rochers et Port de Jard_21/04/2015_C. Pigot_1";;"C. Pigot";"1.0";"13:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Rochers et Port de Jard_23/06/2016_MOMOT Pauline_1";;"MOMOT Pauline";"1.0";"13:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Rochers et Port de Jard_23/06/2016_MOMOT Pauline_3";;"MOMOT Pauline";"3.0";"13:55";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Rochers et Port de Jard_24/06/2016_MOMOT Pauline_2";;"MOMOT Pauline";"2.0";"13:33";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Improvisé ou par hasard (non choix)"
"Rochers et Port de Jard_26/08/2014_BELLOUR Simon_1";;"BELLOUR Simon";"1.0";"11:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;4;;6;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Rochers et Port de Jard_26/08/2014_BELLOUR Simon_2";;"BELLOUR Simon";"2.0";"11:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;"Qualité gisement | Proximité"
"Rochers et Port de Jard_26/08/2014_BELLOUR Simon_3";;"BELLOUR Simon";"3.0";"12:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Rochers et Port de Jard_26/08/2014_BELLOUR Simon_4";;"BELLOUR Simon";"4.0";"12:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;"Recommandation"
